Week End,Crude Volumes For The Week
12/01/1992,79.6
12/08/1992,66.9
12/08/1992,100.1
12/08/1992,73.8
12/15/1992,68.6
12/15/1992,98.1
12/15/1992,70.5
12/22/1992,66.5
12/22/1992,97.9
12/22/1992,70.0
12/29/1992,70.5
12/29/1992,100.1
12/29/1992,72.5
01/05/1993,68.9
01/05/1993,100.1
01/05/1993,73.3
01/12/1993,70.8
01/12/1993,102.5
01/12/1993,79.3
01/19/1993,72.6
01/19/1993,101.3
01/19/1993,81.5
01/26/1993,75.1
01/26/1993,103.7
01/26/1993,85.1
02/02/1993,72.4
02/02/1993,99.3
02/02/1993,85.2
02/09/1993,74.5
02/09/1993,92.8
02/09/1993,85.18
02/16/1993,72.1
02/16/1993,99.63
02/16/1993,84.4
02/23/1993,75.45
02/23/1993,102.06
02/23/1993,79.45
03/02/1993,73.04
03/02/1993,102.44
03/02/1993,83.7
03/09/1993,73.2
03/09/1993,109.52
03/09/1993,72.25
03/16/1993,66.61
03/16/1993,107.46
03/16/1993,75.4
03/23/1993,67.35
03/23/1993,106.42
03/23/1993,77.25
03/30/1993,65.55
03/30/1993,101.18
03/30/1993,85.05
04/06/1993,63.64
04/06/1993,98.12
04/06/1993,86.23
04/13/1993,71.52
04/13/1993,102.72
04/13/1993,74.57
04/20/1993,65.21
04/20/1993,98.54
04/20/1993,53.99
04/27/1993,58.0
04/27/1993,96.61
04/27/1993,52.24
05/04/1993,55.11
05/04/1993,92.57
05/04/1993,53.72
05/11/1993,63.8
05/11/1993,82.03
05/11/1993,65.04
05/18/1993,60.89
05/18/1993,82.09
05/18/1993,72.01
05/25/1993,59.52
05/25/1993,85.82
05/25/1993,70.18
06/01/1993,66.05
06/01/1993,83.13
06/01/1993,71.41
06/08/1993,71.9
06/08/1993,84.1
06/08/1993,73.21
06/15/1993,73.42
06/15/1993,98.99
06/15/1993,70.34
06/22/1993,78.26
06/22/1993,109.34
06/22/1993,68.75
06/29/1993,76.94
06/29/1993,104.73
06/29/1993,73.69
07/06/1993,75.26
07/06/1993,109.69
07/06/1993,76.22
07/13/1993,73.07
07/13/1993,108.35
07/13/1993,76.0
07/20/1993,74.63
07/20/1993,109.53
07/20/1993,80.37
07/27/1993,77.03
07/27/1993,107.59
07/27/1993,76.65
08/03/1993,78.06
08/03/1993,91.28
08/03/1993,75.98
08/10/1993,74.0
08/10/1993,102.87
08/10/1993,75.34
08/17/1993,76.38
08/17/1993,98.09
08/17/1993,75.95
08/24/1993,77.46
08/24/1993,96.34
08/24/1993,78.66
08/31/1993,76.36
08/31/1993,95.03
08/31/1993,79.98
09/07/1993,77.43
09/07/1993,100.24
09/07/1993,76.46
09/14/1993,73.09
09/14/1993,96.37
09/14/1993,75.32
09/21/1993,54.42
09/21/1993,83.94
09/21/1993,75.68
09/28/1993,53.99
09/28/1993,92.63
09/28/1993,75.27
10/05/1993,63.07
10/05/1993,103.79
10/05/1993,81.13
10/12/1993,65.1
10/12/1993,105.21
10/12/1993,80.56
10/19/1993,67.9
10/19/1993,107.28
10/19/1993,80.9
10/26/1993,68.81
10/26/1993,108.93
10/26/1993,73.34
11/02/1993,62.83
11/02/1993,107.71
11/02/1993,68.4
11/09/1993,78.35
11/09/1993,108.07
11/09/1993,70.56
11/16/1993,77.52
11/16/1993,106.37
11/16/1993,75.86
11/23/1993,72.61
11/23/1993,111.02
11/23/1993,73.49
11/30/1993,75.92
11/30/1993,103.0
11/30/1993,72.29
12/07/1993,74.9
12/07/1993,109.67
12/07/1993,66.14
12/14/1993,72.25
12/14/1993,107.95
12/14/1993,61.91
12/21/1993,66.75
12/21/1993,109.13
12/21/1993,67.59
12/28/1993,63.66
12/28/1993,112.02
12/28/1993,69.8
01/04/1994,69.19
01/04/1994,101.82
01/04/1994,75.17
01/11/1994,70.12
01/11/1994,104.76
01/11/1994,77.76
01/18/1994,72.7
01/18/1994,105.26
01/18/1994,79.86
01/25/1994,71.46
01/25/1994,107.57
01/25/1994,80.19
